"BM","DOCX","Base grade","Fields","Bindings","Unknown","Review required","Bespoke/Generic","Agency status","Runtime source","Source ID","Alternate sources","Warnings","Issues"
"BM-023","YES","EXTRACTED_NEEDS_REVIEW","17","17","17","17","BESPOKE","NONE","LEGACY_BESPOKE","BM-023__78e4f3906e4c","","",""
"BM-030","YES","EXTRACTED_NEEDS_REVIEW","14","14","14","14","BESPOKE","NONE","LEGACY_BESPOKE","BM-030__0cfa7ae4b177","","",""
"BM-031","YES","EXTRACTED_NEEDS_REVIEW","16","16","16","16","BESPOKE","NONE","LEGACY_BESPOKE","BM-031__ec3276d1eebe","","",""
"BM-033","YES","EXTRACTED_NEEDS_REVIEW","21","21","21","21","BESPOKE","NONE","LEGACY_BESPOKE","BM-033__51058a699877","","",""
