"BM","DOCX","Base grade","Fields","Bindings","Unknown","Review required","Bespoke/Generic","Agency status","Runtime source","Source ID","Alternate sources","Warnings","Issues"
"BM-170","YES","EXTRACTED_NEEDS_REVIEW","17","17","17","17","BESPOKE","NONE","LEGACY_BESPOKE","BM-170__c8f50b0e9f5b","","",""
"BM-171","YES","EXTRACTED_NEEDS_REVIEW","34","34","34","34","BESPOKE","NONE","LEGACY_BESPOKE","BM-171__46b9a8be4e01","","",""
"BM-172","YES","EXTRACTED_NEEDS_REVIEW","34","34","34","34","BESPOKE","NONE","LEGACY_BESPOKE","BM-172__e3a3eb687d2f","","",""
"BM-173","YES","EXTRACTED_NEEDS_REVIEW","16","16","16","16","BESPOKE","NONE","LEGACY_BESPOKE","BM-173__2e06ac25958d","","",""
"BM-174","YES","EXTRACTED_NEEDS_REVIEW","13","17","13","17","GENERIC","NONE","GENERIC_FALLBACK","BM-174__f8e45c638bb6","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-175","YES","EXTRACTED_NEEDS_REVIEW","4","4","4","4","GENERIC","NONE","GENERIC_FALLBACK","BM-175__6d3f2b46283d","","",""
"BM-176","YES","EXTRACTED_NEEDS_REVIEW","8","8","8","8","GENERIC","NONE","GENERIC_FALLBACK","BM-176__8f1b057e17a7","","",""
"BM-177","YES","EXTRACTED_NEEDS_REVIEW","3","3","3","3","GENERIC","NONE","GENERIC_FALLBACK","BM-177__05be0ed97398","","",""
"BM-178","YES","EXTRACTED_NEEDS_REVIEW","4","4","4","4","GENERIC","NONE","GENERIC_FALLBACK","BM-178__7f2719dcacc7","","",""
"BM-179","YES","EXTRACTED_NEEDS_REVIEW","10","14","10","14","GENERIC","NONE","GENERIC_FALLBACK","BM-179__186c49575a2e","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-180","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-180__d608f62a685a","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-181","YES","EXTRACTED_NEEDS_REVIEW","5","5","5","5","GENERIC","NONE","GENERIC_FALLBACK","BM-181__ec1d8701fc13","","",""
"BM-182","YES","EXTRACTED_NEEDS_REVIEW","3","3","3","3","GENERIC","NONE","GENERIC_FALLBACK","BM-182__95dc6d1f57ab","","",""
"BM-183","YES","EXTRACTED_NEEDS_REVIEW","8","8","8","8","GENERIC","NONE","GENERIC_FALLBACK","BM-183__294fc847169f","","",""
"BM-184","YES","EXTRACTED_NEEDS_REVIEW","18","22","18","22","GENERIC","NONE","GENERIC_FALLBACK","BM-184__fb1c01087fa5","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-185","YES","EXTRACTED_NEEDS_REVIEW","2","2","2","2","GENERIC","NONE","GENERIC_FALLBACK","BM-185__69c976088827","","",""
"BM-186","YES","EXTRACTED_NEEDS_REVIEW","13","17","13","17","GENERIC","NONE","GENERIC_FALLBACK","BM-186__84cb2023273b","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-187","YES","EXTRACTED_NEEDS_REVIEW","11","15","11","15","GENERIC","NONE","GENERIC_FALLBACK","BM-187__e47644149068","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-188","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-188__cb14348d184c","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-189","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-189__70da8df0a0da","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-190","YES","EXTRACTED_NEEDS_REVIEW","15","17","15","17","GENERIC","NONE","GENERIC_FALLBACK","BM-190__36fb96ee1a73","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-191","YES","EXTRACTED_NEEDS_REVIEW","16","20","16","20","GENERIC","NONE","GENERIC_FALLBACK","BM-191__11335dc18806","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-192","YES","EXTRACTED_NEEDS_REVIEW","15","19","15","19","GENERIC","NONE","GENERIC_FALLBACK","BM-192__42db503bed2a","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-193","YES","EXTRACTED_NEEDS_REVIEW","14","18","14","18","GENERIC","NONE","GENERIC_FALLBACK","BM-193__e24862458ecb","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-194","YES","EXTRACTED_NEEDS_REVIEW","2","2","2","2","GENERIC","NONE","GENERIC_FALLBACK","BM-194__946009a4f0e0","","",""
"BM-195","YES","EXTRACTED_NEEDS_REVIEW","2","2","2","2","GENERIC","NONE","GENERIC_FALLBACK","BM-195__0b409423eb38","","",""
"BM-196","YES","EXTRACTED_NEEDS_REVIEW","16","20","16","20","GENERIC","NONE","GENERIC_FALLBACK","BM-196__0c6aec084a26","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-197","YES","EXTRACTED_NEEDS_REVIEW","1","1","1","1","GENERIC","NONE","GENERIC_FALLBACK","BM-197__37dda9913570","","",""
"BM-198","YES","EXTRACTED_NEEDS_REVIEW","4","4","4","4","GENERIC","NONE","GENERIC_FALLBACK","BM-198__269efb9590af","","",""
"BM-199","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-199__e4724bd967ad","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-200","YES","EXTRACTED_NEEDS_REVIEW","2","2","2","2","GENERIC","NONE","GENERIC_FALLBACK","BM-200__d340f628394e","","",""
"BM-201","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-201__2d0aab05928d","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-202","YES","EXTRACTED_NEEDS_REVIEW","4","4","4","4","GENERIC","NONE","GENERIC_FALLBACK","BM-202__0c74f6ae9727","","",""
"BM-203","YES","EXTRACTED_NEEDS_REVIEW","15","19","15","19","GENERIC","NONE","GENERIC_FALLBACK","BM-203__7572e687ae0f","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-204","YES","EXTRACTED_NEEDS_REVIEW","9","13","9","13","GENERIC","NONE","GENERIC_FALLBACK","BM-204__f334b93daabe","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-205","YES","EXTRACTED_NEEDS_REVIEW","11","15","11","15","GENERIC","NONE","GENERIC_FALLBACK","BM-205__e6427663d551","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-206","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-206__83dd8f078d92","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-207","YES","EXTRACTED_NEEDS_REVIEW","13","17","13","17","GENERIC","NONE","GENERIC_FALLBACK","BM-207__34a77bfcbd63","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-208","YES","EXTRACTED_NEEDS_REVIEW","13","17","13","17","GENERIC","NONE","GENERIC_FALLBACK","BM-208__93ee4a40d673","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-209","YES","EXTRACTED_NEEDS_REVIEW","16","17","16","17","GENERIC","NONE","GENERIC_FALLBACK","BM-209__2547ef797798","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-210","YES","EXTRACTED_NEEDS_REVIEW","12","16","12","16","GENERIC","NONE","GENERIC_FALLBACK","BM-210__7266a312afb8","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-211","YES","EXTRACTED_NEEDS_REVIEW","14","18","14","18","GENERIC","NONE","GENERIC_FALLBACK","BM-211__ff91d4c3b4e0","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-212","YES","EXTRACTED_NEEDS_REVIEW","10","14","10","14","GENERIC","NONE","GENERIC_FALLBACK","BM-212__b1bab1e5a854","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-213","YES","EXTRACTED_NEEDS_REVIEW","10","14","10","14","GENERIC","NONE","GENERIC_FALLBACK","BM-213__33383be18132","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
