templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,recommendedPrefillKind,reason,currentSampleValue,controlType
BM-135,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"recipients.personLine","Người bị áp dụng",false,MANUAL,NEVER_AUTO,NONE,"Label ""Người bị áp dụng"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-135,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"legalBasis.canCu","Căn cứ pháp lý",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""legalBasis.canCu"" is generic/common boilerplate safe for prefill.",,TEXT
BM-135,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"signature.positionTitle","Chức danh",false,OFFICIAL,NEVER_AUTO,NONE,"Label ""Chức danh"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"recipients.personLine","Người bị áp dụng",false,MANUAL,NEVER_AUTO,NONE,"Label ""Người bị áp dụng"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-136,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"person.tenBi","Tên bị can / bị cáo",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên bị can / bị cáo"" matches NEVER_AUTO pattern.",,TEXT
BM-136,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
