templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,recommendedPrefillKind,reason,currentSampleValue,controlType
BM-114,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-114,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-114,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-114,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-114,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-114,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-115,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-115,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-115,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-115,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-115,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-115,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-116,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-116,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-116,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-116,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-117,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"recipients.personLine","Người bị áp dụng",false,MANUAL,NEVER_AUTO,NONE,"Label ""Người bị áp dụng"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-117,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"person.toiDanh","Tội danh",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tội danh"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.soQd","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-117,"document.ngayQd","Ngày quyết định",false,MANUAL,REVIEW_REQUIRED,NONE,"Label ""Ngày quyết định"" is ambiguous — requires manual classification before auto-fill.",,TEXT
BM-117,"document.donVi","Đơn vị",false,MANUAL,NEVER_AUTO,NONE,"Label ""Đơn vị"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"recipients.personLine","Người bị áp dụng",false,MANUAL,NEVER_AUTO,NONE,"Label ""Người bị áp dụng"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-118,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"person.toiDanh","Tội danh",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tội danh"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.soQd","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.donVi","Đơn vị",false,MANUAL,NEVER_AUTO,NONE,"Label ""Đơn vị"" matches NEVER_AUTO pattern.",,TEXT
BM-118,"document.lyDo","Lý do",false,MANUAL,NEVER_AUTO,NONE,"Label ""Lý do"" matches NEVER_AUTO pattern.",,TEXT
BM-119,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-119,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-119,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-119,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-119,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-120,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-120,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-120,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-120,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-121,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-121,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-121,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
